team,player,pos,gp,gs,min,pts,or,dr,reb,ast,stl,blk,to,pf,ast/to
LAC,Derrick Jones Jr.,F,33,28,26.9,11.3,1.1,1.9,3.0,1.2,1.0,1.1,0.8,2.2,1.5
LAC,Jordan Miller,G,44,0,21.1,9.4,0.8,2.1,2.9,2.0,0.7,0.2,1.1,1.0,1.9
LAC,Bradley Beal,G,6,6,20.2,8.2,0.3,0.5,0.8,1.7,0.5,0.0,1.5,2.3,1.1
LAC,Brook Lopez,C,58,23,20.1,7.8,0.4,2.6,3.1,1.1,0.6,1.0,0.8,1.9,1.4
LAC,Kris Dunn,G,65,59,27.5,7.8,0.7,2.6,3.3,3.7,1.5,0.1,1.4,2.4,2.6
LAC,Bogdan Bogdanovic,G,18,3,21.6,7.7,0.3,2.6,2.9,2.7,0.6,0.1,1.3,2.3,2.0
LAC,Kobe Sanders,G,54,15,20.6,6.9,0.5,1.9,2.4,1.6,0.6,0.1,1.3,2.1,1.2
LAC,Sean Pedulla,G,1,0,6.0,6.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,INF
PHI,Patrick Baldwin Jr.G,N/A,1,0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LAC,Yanic Konan Niederhauser,C,41,0,10.3,4.3,0.9,2.0,2.9,0.3,0.1,0.7,0.6,1.6,0.5
LAC,Nicolas Batum,F,62,5,18.4,4.1,0.3,2.2,2.5,0.9,0.7,0.3,0.6,1.4,1.5
LAC,Cam Christie,G,44,0,9.3,3.1,0.3,1.2,1.5,0.6,0.3,0.1,0.4,0.4,1.5
LAC,Chris Paul,G,16,0,14.3,2.9,0.4,1.4,1.8,3.3,0.7,0.0,1.0,1.4,3.3
LAC,Norchad Omier,F,3,0,4.7,2.7,0.7,0.7,1.3,0.3,0.3,0.0,0.0,0.7,INF
LAC,TyTy Washington Jr.,G,8,0,6.5,2.4,0.1,0.1,0.3,1.4,0.5,0.3,0.4,0.5,3.7
LAC,Jahmyl Telfort,F,8,0,4.0,0.1,0.0,0.4,0.4,0.1,0.1,0.0,0.1,0.6,1.0
LAL,Luka Doncic,G,54,54,35.5,32.9,0.6,7.3,7.9,8.5,1.5,0.5,4.0,2.4,2.1
LAL,Austin Reaves,G,40,34,33.7,23.9,0.7,4.1,4.8,5.5,1.1,0.4,3.0,2.2,1.8
LAL,LeBron James,F,45,45,33.1,21.4,0.8,4.9,5.7,7.0,1.1,0.6,3.1,1.3,2.3
LAL,Deandre Ayton,C,57,57,27.5,12.6,2.5,5.8,8.3,0.9,0.6,0.9,1.2,2.3,0.7
LAL,Rui Hachimura,F,54,35,29.3,11.6,0.6,2.7,3.3,0.9,0.6,0.3,0.7,1.6,1.4
LAL,Marcus Smart,G,55,48,28.4,9.4,0.6,2.2,2.8,2.8,1.3,0.4,1.5,2.6,1.9
LAL,Jake LaRavia,F,66,33,25.5,8.8,1.5,2.5,3.9,1.9,1.2,0.4,1.0,2.3,1.8
LAL,Jaxson Hayes,C,54,8,17.7,7.0,1.5,2.5,4.0,0.9,0.4,0.6,0.5,1.9,2.0
LAL,Nick Smith Jr.,G,25,1,12.7,5.8,0.1,0.7,0.8,1.1,0.4,0.1,0.8,1.0,1.5
LAL,Jarred Vanderbilt,F,55,3,17.8,4.5,1.3,3.2,4.6,1.2,0.8,0.3,0.9,1.7,1.4
LAL,Dalton Knecht,F,48,1,10.6,4.2,0.3,1.1,1.4,0.3,0.2,0.2,0.4,0.8,0.8
LAL,Drew Timme,F,21,0,8.5,3.4,0.4,0.9,1.3,0.8,0.2,0.0,0.3,0.6,2.3
LAL,Kobe Bufkin,G,11,1,8.2,3.0,0.1,0.7,0.8,0.5,0.2,0.3,0.4,0.5,1.3
LAL,Maxi Kleber,F,35,1,10.9,2.2,0.8,1.1,1.9,0.6,0.4,0.3,0.4,1.4,1.7
LAL,Bronny James,G,32,1,7.0,2.1,0.1,0.3,0.5,1.2,0.3,0.1,0.4,0.5,2.7
LAL,Adou Thiero,F,19,0,5.5,1.5,0.4,0.7,1.1,0.3,0.3,0.1,0.3,0.8,1.2
LAL,Chris Manon,G,6,0,4.2,0.3,0.2,0.8,1.0,0.2,0.5,0.3,0.2,0.8,1.0
MEM,Ty Jerome,G,11,11,21.8,20.0,0.8,1.9,2.7,5.6,1.3,0.2,1.8,2.3,3.1
MEM,Ja Morant,G,20,20,28.5,19.5,0.4,2.9,3.3,8.1,1.0,0.3,3.6,2.0,2.3
UTAH,Jaren Jackson Jr.F,N/A,3,3,24.0,22.3,0.3,4.0,4.3,2.7,2.0,0.3,2.3,3.0,1.1
MEM,Santi Aldama,F,43,11,27.9,14.0,1.6,5.1,6.7,2.9,0.9,0.7,1.3,1.6,2.3
MEM,Zach Edey,C,11,11,25.8,13.6,3.9,7.2,11.1,1.1,0.6,1.9,2.4,3.4,0.5
MEM,Cedric Coward,F,51,36,26.1,13.4,1.4,4.9,6.4,2.8,0.6,0.4,1.8,1.9,1.5
MEM,Jaylen Wells,F,64,64,26.7,12.8,0.9,2.4,3.3,1.7,0.9,0.1,1.1,2.2,1.5
MEM,Rayan Rupert,N/A,9,2,29.1,11.6,1.3,4.3,5.7,1.0,1.4,0.4,0.9,4.1,1.1
MEM,Scotty Pippen Jr.,G,10,6,21.2,11.4,0.8,1.4,2.2,4.7,1.9,0.4,2.7,3.1,1.7
MEM,Cam Spencer,G,62,16,23.9,11.3,0.5,2.1,2.7,5.5,0.7,0.2,1.3,1.4,4.1
MEM,GG Jackson,F,45,18,20.6,11.2,0.9,3.4,4.2,1.4,0.6,0.8,1.5,1.5,1.0
MEM,Taylor Hendricks,N/A,14,3,24.0,11.1,1.8,3.3,5.1,1.6,1.0,0.8,1.1,2.4,1.5
MEM,Kyle Anderson,N/A,4,3,22.3,9.3,0.8,2.8,3.5,0.8,1.5,1.0,1.8,3.0,0.4
