game_id,home,away,date,Home Score,Away Score,home wager,away wager,opener_spread,spread,opener_total,total,home_spread_odds,away_spread_odds
363177,MIA,WAS,2026-04-04,0,0,44%,56%,-17.5,-17.5,248.5,247.5,1.91,1.91
363178,DEN,SA,2026-04-04,0,0,54%,46%,2.5,2,243.5,243.5,1.91,1.91
363179,PHI,DET,2026-04-04,0,0,35%,65%,-1.5,2.5,227.5,228,1.91,1.91
